query_id,query,relevant_laws (自動標註),relevant_laws (人工修正),source,notes
synthetic_道路交通管理處罰條例第 54 條_penalty_二,"在無看守人員管理或無遮斷器、警鈴及閃光號誌設備之鐵路平交道,設有警告標誌或跳動路 面,不依規定暫停,逕行通過。會受到什麼處罰？",道路交通管理處罰條例第 54 條,,synthetic,
synthetic_道路交通管理處罰條例第 54 條_penalty_三,在鐵路平交道超車、迴車、倒車、臨時停車或停車。會受到什麼處罰？,道路交通管理處罰條例第 54 條,,synthetic,
synthetic_道路交通管理處罰條例第 55 條_penalty_一,在橋樑、隧道、圓環、障礙物對面、人行道、行人穿越道、快車道臨時停車。會受到什麼處罰？,道路交通管理處罰條例第 55 條,,synthetic,
synthetic_道路交通管理處罰條例第 55 條_penalty_三,在設有禁止臨時停車標誌、標線處所臨時停車。會受到什麼處罰？,道路交通管理處罰條例第 55 條,,synthetic,
synthetic_道路交通管理處罰條例第 55 條_penalty_四,"不依順行之方向,或不緊靠道路右側,或單行道不緊靠路邊,或併排臨時停車。會受到什麼處罰？",道路交通管理處罰條例第 55 條,,synthetic,
synthetic_道路交通管理處罰條例第 56 條_penalty_一,在禁止臨時停車處所停車。會受到什麼處罰？,道路交通管理處罰條例第 56 條,,synthetic,
synthetic_道路交通管理處罰條例第 56 條_penalty_二,在設有彎道、險坡、狹路標誌之路段、槽化線、交通島或道路修理地段停車。會受到什麼處罰？,道路交通管理處罰條例第 56 條,,synthetic,
synthetic_道路交通管理處罰條例第 56 條_penalty_三,在機場、車站、碼頭、學校、娛樂、展覽、競技、市場、或其他公共場所出、入口或消防栓 之前停車。會受到什麼處罰？,道路交通管理處罰條例第 56 條,,synthetic,
synthetic_道路交通管理處罰條例第 56 條_penalty_四,在設有禁止停車標誌、標線之處所停車。會受到什麼處罰？,道路交通管理處罰條例第 56 條,,synthetic,
synthetic_道路交通管理處罰條例第 56 條_penalty_五,在顯有妨礙其他人、車通行處所停車。會受到什麼處罰？,道路交通管理處罰條例第 56 條,,synthetic,
synthetic_道路交通管理處罰條例第 56 條_penalty_六,"不依順行方向,或不緊靠道路右側,或單行道不緊靠路邊停車。會受到什麼處罰？",道路交通管理處罰條例第 56 條,,synthetic,
synthetic_道路交通管理處罰條例第 56 條_penalty_七,於路邊劃有停放車輛線之處所停車營業。會受到什麼處罰？,道路交通管理處罰條例第 56 條,,synthetic,
synthetic_道路交通管理處罰條例第 56 條_penalty_八,自用汽車在營業汽車招呼站停車。會受到什麼處罰？,道路交通管理處罰條例第 56 條,,synthetic,
synthetic_道路交通管理處罰條例第 56 條_penalty_九,停車時間、位置、方式、車種不依規定。會受到什麼處罰？,道路交通管理處罰條例第 56 條,,synthetic,
synthetic_道路交通管理處罰條例第 58 條_penalty_一,不依規定保持前、後車距離。會受到什麼處罰？,道路交通管理處罰條例第 58 條,,synthetic,
synthetic_道路交通管理處罰條例第 58 條_penalty_二,"行至有號誌之交岔路口,遇紅燈不依車道連貫暫停而逕行插入車道間,致交通擁塞,妨礙其 他車輛通行。會受到什麼處罰？",道路交通管理處罰條例第 58 條,,synthetic,
synthetic_道路交通管理處罰條例第 58 條_penalty_三,"行至有號誌之交岔路口,遇有前行或轉彎之車道交通擁塞而逕行駛入交岔路口內,致號誌轉 換後仍未能通過,妨礙其他車輛通行。會受到什麼處罰？",道路交通管理處罰條例第 58 條,,synthetic,
synthetic_道路交通管理處罰條例第 60 條_penalty_一,不服從交通勤務警察或依法令執行交通指揮、稽查任務人員之指揮或稽查。會受到什麼處罰？,道路交通管理處罰條例第 60 條,,synthetic,
synthetic_道路交通管理處罰條例第 60 條_penalty_三,不遵守道路交通標誌、標線、號誌之指示。會受到什麼處罰？,道路交通管理處罰條例第 60 條,,synthetic,
synthetic_道路交通管理處罰條例第 61 條_penalty_一,"利用汽車犯罪,經判決有期徒刑以上之刑確定。會受到什麼處罰？",道路交通管理處罰條例第 61 條,,synthetic,
synthetic_道路交通管理處罰條例第 61 條_penalty_三,撞傷正在執行勤務中之警察或依法令執行指揮交通及交通稽查任務人員。會受到什麼處罰？,道路交通管理處罰條例第 61 條,,synthetic,
synthetic_道路交通管理處罰條例第 63-2 條_penalty_二,"駕駛人之行為應吊扣汽車駕駛執照者,吊扣該汽車牌照。會受到什麼處罰？",道路交通管理處罰條例第 63-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 63-2 條_penalty_三,"駕駛人之行為應吊銷汽車駕駛執照者,吊銷該汽車牌照。 2 逕行舉發案件之被通知人為非自然人,其為汽車所有人,且未指定主要駕駛人或未辦理歸責他人 時,駕駛人之行為應接受道路交通安全講習或應吊扣、吊銷汽車駕會受到什麼處罰？",道路交通管理處罰條例第 63-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 65 條_penalty_一,"經處分吊銷汽車牌照或駕駛執照者,由公路主管機關逕行註銷。會受到什麼處罰？",道路交通管理處罰條例第 65 條,,synthetic,
synthetic_道路交通管理處罰條例第 65 條_penalty_二,"經處分吊扣汽車牌照或駕駛執照者,按其吊扣期間加倍處分;仍不依限期繳送汽車牌照或駕 駛執照者,吊銷其汽車牌照或駕駛執照。會受到什麼處罰？",道路交通管理處罰條例第 65 條,,synthetic,
synthetic_道路交通管理處罰條例第 65 條_penalty_三,"罰鍰不繳納者,依法移送強制執行。會受到什麼處罰？",道路交通管理處罰條例第 65 條,,synthetic,
synthetic_道路交通管理處罰條例第 71-1 條_penalty_一,未依規定領用牌照行駛。會受到什麼處罰？,道路交通管理處罰條例第 71-1 條,,synthetic,
synthetic_道路交通管理處罰條例第 71-1 條_penalty_二,使用偽造或變造之牌照。會受到什麼處罰？,道路交通管理處罰條例第 71-1 條,,synthetic,
synthetic_道路交通管理處罰條例第 71-1 條_penalty_三,牌照借供他車使用或使用他車牌照。會受到什麼處罰？,道路交通管理處罰條例第 71-1 條,,synthetic,
synthetic_道路交通管理處罰條例第 71-1 條_penalty_四,已領有牌照而未懸掛或不依指定位置懸掛。會受到什麼處罰？,道路交通管理處罰條例第 71-1 條,,synthetic,
synthetic_道路交通管理處罰條例第 71-1 條_penalty_五,"牌照業經註銷,無牌照仍行駛。會受到什麼處罰？",道路交通管理處罰條例第 71-1 條,,synthetic,
synthetic_道路交通管理處罰條例第 71-2 條_penalty_一,"牌照遺失或破損,不報請補發、換發或重新申請。會受到什麼處罰？",道路交通管理處罰條例第 71-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 71-2 條_penalty_二,"牌照污穢,不洗刷清楚或為他物遮蔽,非行車途中因遇雨、雪道路泥濘所致。會受到什麼處罰？",道路交通管理處罰條例第 71-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 73 條_penalty_一,"不在劃設之慢車道通行,或無正當理由在未劃設慢車道之道路不靠右側路邊行駛。會受到什麼處罰？",道路交通管理處罰條例第 73 條,,synthetic,
synthetic_道路交通管理處罰條例第 73 條_penalty_二,不在規定之地區路線或時間內行駛。會受到什麼處罰？,道路交通管理處罰條例第 73 條,,synthetic,
synthetic_道路交通管理處罰條例第 73 條_penalty_三,不依規定轉彎、超車、停車或通過交岔路口。會受到什麼處罰？,道路交通管理處罰條例第 73 條,,synthetic,
synthetic_道路交通管理處罰條例第 73 條_penalty_四,在道路上爭先、爭道或其他危險方式駕車。會受到什麼處罰？,道路交通管理處罰條例第 73 條,,synthetic,
synthetic_道路交通管理處罰條例第 73 條_penalty_五,在夜間行車未開啟燈光。會受到什麼處罰？,道路交通管理處罰條例第 73 條,,synthetic,
synthetic_道路交通管理處罰條例第 74 條_penalty_一,不服從執行交通勤務警察之指揮或不依標誌、標線、號誌之指示。會受到什麼處罰？,道路交通管理處罰條例第 74 條,,synthetic,
synthetic_道路交通管理處罰條例第 74 條_penalty_三,"不依規定,擅自穿越快車道。會受到什麼處罰？",道路交通管理處罰條例第 74 條,,synthetic,
synthetic_道路交通管理處罰條例第 74 條_penalty_四,不依規定停放車輛。會受到什麼處罰？,道路交通管理處罰條例第 74 條,,synthetic,
synthetic_道路交通管理處罰條例第 74 條_penalty_五,在人行道或快車道行駛。會受到什麼處罰？,道路交通管理處罰條例第 74 條,,synthetic,
synthetic_道路交通管理處罰條例第 74 條_penalty_六,聞消防車、警備車、救護車、工程救險車、毒性化學物質災害事故應變車之警號不立即避讓。會受到什麼處罰？,道路交通管理處罰條例第 74 條,,synthetic,
synthetic_道路交通管理處罰條例第 74 條_penalty_七,"行經行人穿越道有行人穿越或行駛至交岔路口轉彎時,未讓行人優先通行。會受到什麼處罰？",道路交通管理處罰條例第 74 條,,synthetic,
synthetic_道路交通管理處罰條例第 74 條_penalty_八,"於設置有必要之標誌或標線供慢車行駛之人行道上,未讓行人優先通行。會受到什麼處罰？",道路交通管理處罰條例第 74 條,,synthetic,
synthetic_道路交通管理處罰條例第 76 條_penalty_一,乘坐人數超過規定數額。會受到什麼處罰？,道路交通管理處罰條例第 76 條,,synthetic,
synthetic_道路交通管理處罰條例第 76 條_penalty_三,裝載容易滲漏、飛散、有惡臭氣味及危險性貨物不嚴密封固或不為適當之裝置。會受到什麼處罰？,道路交通管理處罰條例第 76 條,,synthetic,
synthetic_道路交通管理處罰條例第 76 條_penalty_四,裝載禽、畜重疊或倒置。會受到什麼處罰？,道路交通管理處罰條例第 76 條,,synthetic,
synthetic_道路交通管理處罰條例第 76 條_penalty_五,裝載貨物不捆紮結實。會受到什麼處罰？,道路交通管理處罰條例第 76 條,,synthetic,
synthetic_道路交通管理處罰條例第 76 條_penalty_六,上、下乘客或裝卸貨物不緊靠路邊妨礙交通。會受到什麼處罰？,道路交通管理處罰條例第 76 條,,synthetic,
synthetic_道路交通管理處罰條例第 76 條_penalty_二,附載之幼童年齡或體重超過規定。會受到什麼處罰？,道路交通管理處罰條例第 76 條,,synthetic,
synthetic_道路交通管理處罰條例第 76 條_penalty_三,不依規定使用合格之兒童座椅、腳踏自行車或電動輔助自行車。會受到什麼處罰？,道路交通管理處罰條例第 76 條,,synthetic,
synthetic_道路交通管理處罰條例第 76 條_penalty_四,"未依規定附載幼童。 3 前項附載幼童之腳踏自行車、電動輔助自行車應遵行事項及兒童座椅之檢驗方式,由交通部定之。會受到什麼處罰？",道路交通管理處罰條例第 76 條,,synthetic,
synthetic_道路交通管理處罰條例第 78 條_penalty_一,不依標誌、標線、號誌之指示或警察指揮。會受到什麼處罰？,道路交通管理處罰條例第 78 條,,synthetic,
synthetic_道路交通管理處罰條例第 78 條_penalty_二,"不在劃設之人行道通行,或無正當理由,在未劃設人行道之道路不靠邊通行。會受到什麼處罰？",道路交通管理處罰條例第 78 條,,synthetic,
synthetic_道路交通管理處罰條例第 78 條_penalty_三,"不依規定,擅自穿越車道。會受到什麼處罰？",道路交通管理處罰條例第 78 條,,synthetic,
synthetic_道路交通管理處罰條例第 78 條_penalty_四,"於交通頻繁之道路或鐵路平交道附近任意奔跑、追逐、嬉遊或坐、臥、蹲、立,足以阻礙交 通。會受到什麼處罰？",道路交通管理處罰條例第 78 條,,synthetic,
synthetic_道路交通管理處罰條例第 80 條_penalty_一,"不遵守看守人員之指示,或遮斷器開始放下,或警鈴已響、閃光號誌已顯示,仍強行闖越。會受到什麼處罰？",道路交通管理處罰條例第 80 條,,synthetic,
synthetic_道路交通管理處罰條例第 80 條_penalty_二,"在無看守人員管理或無遮斷器、警鈴及閃光號誌設備之鐵路平交道,不依規定暫停、看、聽、 有無火車駛來,逕行通過。會受到什麼處罰？",道路交通管理處罰條例第 80 條,,synthetic,
synthetic_道路交通管理處罰條例第 82 條_penalty_一,在道路堆積、置放、設置或拋擲足以妨礙交通之物。會受到什麼處罰？,道路交通管理處罰條例第 82 條,,synthetic,
synthetic_道路交通管理處罰條例第 82 條_penalty_二,"在道路兩旁附近燃燒物品,發生濃煙,足以妨礙行車視線。會受到什麼處罰？",道路交通管理處罰條例第 82 條,,synthetic,
synthetic_道路交通管理處罰條例第 82 條_penalty_三,利用道路為工作場所。會受到什麼處罰？,道路交通管理處罰條例第 82 條,,synthetic,
synthetic_道路交通管理處罰條例第 82 條_penalty_四,利用道路放置拖車、貨櫃或動力機械。會受到什麼處罰？,道路交通管理處罰條例第 82 條,,synthetic,
synthetic_道路交通管理處罰條例第 82 條_penalty_五,"興修房屋使用道路未經許可,或經許可超出限制。會受到什麼處罰？",道路交通管理處罰條例第 82 條,,synthetic,
synthetic_道路交通管理處罰條例第 82 條_penalty_六,"經主管機關許可挖掘道路而不依規定樹立警告標誌,或於事後未將障礙物清除。會受到什麼處罰？",道路交通管理處罰條例第 82 條,,synthetic,
synthetic_道路交通管理處罰條例第 82 條_penalty_七,擅自設置或變更道路交通標誌、標線、號誌或其類似之標識。會受到什麼處罰？,道路交通管理處罰條例第 82 條,,synthetic,
synthetic_道路交通管理處罰條例第 82 條_penalty_八,未經許可在道路設置石碑、廣告牌、綵坊或其他類似物。會受到什麼處罰？,道路交通管理處罰條例第 82 條,,synthetic,
synthetic_道路交通管理處罰條例第 82 條_penalty_九,未經許可在道路舉行賽會或擺設筵席、演戲、拍攝電影或其他類似行為。會受到什麼處罰？,道路交通管理處罰條例第 82 條,,synthetic,
synthetic_道路交通管理處罰條例第 82 條_penalty_十,未經許可在道路擺設攤位。會受到什麼處罰？,道路交通管理處罰條例第 82 條,,synthetic,
synthetic_道路交通管理處罰條例第 83 條_penalty_一,在車道或交通島上散發廣告物、宣傳單或其相類之物。會受到什麼處罰？,道路交通管理處罰條例第 83 條,,synthetic,
synthetic_道路交通管理處罰條例第 83 條_penalty_二,"在車道上、車站內、高速公路服務區休息站,任意販賣物品妨礙交通。會受到什麼處罰？",道路交通管理處罰條例第 83 條,,synthetic,
synthetic_道路交通管理處罰條例第 86 條_penalty_一,未領有駕駛執照駕車。會受到什麼處罰？,道路交通管理處罰條例第 86 條,,synthetic,
synthetic_道路交通管理處罰條例第 86 條_penalty_二,駕駛執照經吊銷、註銷或吊扣期間駕車。會受到什麼處罰？,道路交通管理處罰條例第 86 條,,synthetic,
synthetic_道路交通管理處罰條例第 86 條_penalty_三,酒醉駕車。會受到什麼處罰？,道路交通管理處罰條例第 86 條,,synthetic,
synthetic_道路交通管理處罰條例第 86 條_penalty_四,吸食毒品、迷幻藥、麻醉藥品或其相類似之管制藥品駕車。會受到什麼處罰？,道路交通管理處罰條例第 86 條,,synthetic,
synthetic_道路交通管理處罰條例第 86 條_penalty_五,行駛人行道、行近行人穿越道或其他依法可供行人穿越之交岔路口不依規定讓行人優先通行。會受到什麼處罰？,道路交通管理處罰條例第 86 條,,synthetic,
synthetic_道路交通管理處罰條例第 86 條_penalty_七,"任意以迫近、驟然變換車道或其他不當方式,迫使他車讓道。會受到什麼處罰？",道路交通管理處罰條例第 86 條,,synthetic,
synthetic_道路交通管理處罰條例第 86 條_penalty_八,"非遇突發狀況,在行駛途中任意驟然減速、煞車或於車道中暫停。會受到什麼處罰？",道路交通管理處罰條例第 86 條,,synthetic,
synthetic_道路交通管理處罰條例第 86 條_penalty_十,"連續闖紅燈併有超速行為。 2 汽車駕駛人,在快車道依規定駕車行駛,因行人或慢車不依規定,擅自進入快車道,而致人受傷 或死亡,依法應負刑事責任者,減輕其刑。會受到什麼處罰？",道路交通管理處罰條例第 86 條,,synthetic,
synthetic_道路交通管理處罰條例第 91 條_penalty_一,對促進交通安全著有成效之學校、大眾傳播業或公、私汽車駕駛人訓練機構。會受到什麼處罰？,道路交通管理處罰條例第 91 條,,synthetic,
synthetic_道路交通管理處罰條例第 91 條_penalty_二,檢舉汽車肇事或協助救護汽車肇事受傷者之人員。會受到什麼處罰？,道路交通管理處罰條例第 91 條,,synthetic,
synthetic_道路交通管理處罰條例第 91 條_penalty_三,優良駕駛人。會受到什麼處罰？,道路交通管理處罰條例第 91 條,,synthetic,
synthetic_道路交通管理處罰條例第 92 條_penalty_一,行駛未經公告允許之路段。會受到什麼處罰？,道路交通管理處罰條例第 92 條,,synthetic,
synthetic_道路交通管理處罰條例第 92 條_penalty_二,未依公告允許時段規定行駛。會受到什麼處罰？,道路交通管理處罰條例第 92 條,,synthetic,
synthetic_道路交通管理處罰條例第 92 條_penalty_四,"同車道併駛、超車,或未依規定使用路肩。會受到什麼處罰？",道路交通管理處罰條例第 92 條,,synthetic,
synthetic_道路交通管理處罰條例第 92 條_penalty_五,未依規定附載人員或物品。會受到什麼處罰？,道路交通管理處罰條例第 92 條,,synthetic,
synthetic_道路交通管理處罰條例第 92-2 條_penalty_一,衛生福利部主管身心障礙證明資料。會受到什麼處罰？,道路交通管理處罰條例第 92-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 92-2 條_penalty_二,勞動部主管勞工保險、勞工職業災害保險之失能給付資料。會受到什麼處罰？,道路交通管理處罰條例第 92-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 92-2 條_penalty_三,農業部主管農民健康保險身心障礙給付、農民職業災害保險身心障礙給付資料。會受到什麼處罰？,道路交通管理處罰條例第 92-2 條,,synthetic,
synthetic_道路交通管理處罰條例第 92-2 條_penalty_四,銓敘部主管公教人員保險失能給付資料。會受到什麼處罰？,道路交通管理處罰條例第 92-2 條,,synthetic,
